Unnamed: 0,제목,URL,신청기간,대상자,선정방법,진행기간,활동목적,참여혜택 및 기대효과,진행절차,운영방식
46,[대학일자리+] 릴레이 직무 컨설팅 _반도체/자동차/제약바이오 현직자 토크쇼,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=150026a36ef2f28f81b238d9a339ab74&intlNsbjtSxnCd=,2025.04.24~2025.05.09,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
47,[대학일자리+] 2025학년도 하계 현장실습 지원대비 자기소개서 컨설팅(5월 9일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=d5cae88ac2963efc9e2589604d10800e&intlNsbjtSxnCd=,2025.05.02~2025.05.08,3학년 4학년,선착순,2025.05.09 10:00~2025.05.09 14:50,2025학년도 하계 현장실습 지원을 희망하는 건국대생을 대상으로 자소서 작성 시 애로사항을 해소한다.,"- 해당 산업분야 취업을 원활하게 준비할 수 있도록 한다
- 기업 및 직무에 맞춘 서류 작성 방법 향상 한다
- 자기소개서 항목별 효과적 글쓰기 방법 및 피드백","1) 위인전 신청 
2) 고용24 신청 (취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 회차 확정 및 장소 안내(학생회관 1층 커리어라운지 B룸)",취업지원관 진행
48,[대학일자리+]  현장실습 지원대비 자소서 그룹 컨설팅 (2025-하계 대비)_마감,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0d6108752d73a7ce257e200cd23bc98d&intlNsbjtSxnCd=,2025.04.28~2025.05.08,3학년 4학년,선발,2025.05.07 10:00~2025.05.14 17:30,"2025학년도 하계방학 현장실습 지원 대비를 위한 '현장실습 직무/기업별 그룹 컨설팅' 
- 현장실습 지원서 작성을 위한 소그룹 컨설팅
- 건국대 현장실습 기업 및 직무별 4인 소그룹 매칭 후 집중 컨설팅 진행",- 희망 기업/직무 합격을 위한 사전 점검 및 전문가 컨설팅으로 합격률 향상 기대,"1) 위인전 신청 (NOW!)
2) 건국대학교 현장실습 자기소개서 작성본 제출 (job@konkuk.ac.kr / 이메일 제목: 현장실습 자기소개서 그룹컨설팅 신청자 000)
3) 신청자 중 기업/직무별 소그룹 매칭 후 개별 연락 및 일정 조율 (전문강사/5개 소그룹)
4) 기업/직무별 그룹 컨설팅 진행 (Zoom)
5) 만족도 설문 조사  완료 (컨설팅 후 QR)",비대면(Zoom) 진행
49,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_이공 (5월 8일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=5fbca62d12a65cae470c793da5fb7b32&intlNsbjtSxnCd=,2025.04.25~2025.05.07,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.08 14:00~2025.05.08 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
50,[대학일자리+] 2025학년도 하계 현장실습 지원대비 자기소개서 컨설팅(5월 8일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=f73dfc8e316a0c75c596a0c115711d72&intlNsbjtSxnCd=,2025.05.02~2025.05.07,3학년 4학년,선착순,2025.05.08 10:00~2025.05.08 11:50,2025학년도 하계 현장실습 지원을 희망하는 건국대생을 대상으로 자기소개서 작성 시 애로사항을 해소한다.,"- 해당 산업분야 취업을 원활하게 준비할 수 있도록 한다.
- 기업 및 직무에 맞춘 서류 작성 방법 향상 한다.
- 자기소개서 항목별 효과적 글쓰기 방법 및 피드백","1) 위인전 신청 
2) 고용24 신청 (취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 회차 확정 및 장소 안내",취업지원관 진행
51,[대학일자리+] (면접 기초) 면접 미리패스 : 2025 상반기 (5월 2주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=5102a6dc37e084b447dd8f11b973a520&intlNsbjtSxnCd=,2025.04.25~2025.05.07,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.07 11:00~2025.05.09 11:50,"면접 준비 기초 과정으로 “공통 질문 리스트”를 제공하여 면접이 막막하거나, 어려운 본교 학생들과 지역청년을 대상으로 기본적인 스피치 역량 강화 및 면접 기초 역량을 쌓을 수 있도록 함.","- 기초 면접 역량을 강화하여 면접 전형을 원활하게 준비할 수 있도록 한다.
- 기본 인성 질문의 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청
2) 고용24 신청 (고용24 접속->우리학교취업지원실->건국대 검색->상담예약)
3) 유선 연락으로 참여 확정 안내 
4) 첨부파일로 제공된 질문 리스트에 대한 답변 준비
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
52,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_인문 (5월 8일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=8b8c0ea9da7d23a69c7908a0cb7196b1&intlNsbjtSxnCd=,2025.04.25~2025.05.07,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.08 14:00~2025.05.08 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
53,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (5월 2주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=552efd8d064cdd4b19608389c2778342&intlNsbjtSxnCd=,2025.04.25~2025.05.07,1학년,선착순,2025.05.07 11:00~2025.05.09 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
54,"[대학일자리+] 2025 상반기 채용대비 면접 프로그램 ""면접전형 집중캠프"" - QR신청",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0b3c03fa63684c87830a97978445b539&intlNsbjtSxnCd=,2025.04.16~2025.05.02,4학년 졸업생 대학원,선발,2025.04.30 00:00~2025.05.04 00:00,"목표 기업 면접을 앞두고 있는 재학생 및 졸업생에게 그룹 컨설팅, 모의면접을 제공함으로써 취업 역량 강화 및 합격률 제고","대기업, 공공기관 등 면접전형 대비 특강, 실습 및 모의면접, 피드백 제공으로 합격률 제고","★구글폼 신청서 제출 : https://forms.gle/16tVoYzFHEWiN5XX7
★신청대상 
☆특강: 
- 방법: 비대면 온라인 ZOOM
- 대상: 누구나 참여 가능. 건국대 재적생 및 졸업생, 지역청년, 신청자 모두 수료 가능 
☆그룹 컨설팅: 대면, 1조 4~5명, 9개 직무, 면접관 9명 초청*
- 36명(최대 45명) 선발 
- 일시: 5.3.(토) 오후 13시~17시  
- 장소: 건국대학교 법학관 (추후 상세 안내)
- 대면그룹 컨설팅 노쇼 시 취업 비교과 프로그램 6개월 참여 제한",
55,[대학일자리+] (면접 기초) 면접 미리패스 : 2025 상반기 (4월 5주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=867f0eabd11756f0f72334d57d8065ac&intlNsbjtSxnCd=,2025.04.18~2025.04.30,1학년 2학년 3학년 4학년 졸업생,선착순,2025.04.29 11:00~2025.05.02 11:50,"면접 준비 기초 과정으로 “공통 질문 리스트”를 제공하여 면접이 막막하거나, 어려운 본교 학생들과 지역청년을 대상으로 기본적인 스피치 역량 강화 및 면접 기초 역량을 쌓을 수 있도록 함.","- 기초 면접 역량을 강화하여 면접 전형을 원활하게 준비할 수 있도록 한다.
- 기본 인성 질문의 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청
2) 고용24 신청 (고용24 접속->우리학교취업지원실->건국대 검색->상담예약)
3) 유선 연락으로 참여 확정 안내 
4) 첨부파일로 제공된 질문 리스트에 대한 답변 준비
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
56,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_인문 (4월 29일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=aceb04ffe203badf5067bcc8017e19e0&intlNsbjtSxnCd=,2025.04.18~2025.04.28,1학년 2학년 3학년 4학년 졸업생,선착순,2025.04.29 14:00~2025.04.29 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
57,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_이공 (4월 29일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=4641e5b1a59289f9614427ee873a3be9&intlNsbjtSxnCd=,2025.04.18~2025.04.28,1학년 2학년 3학년 4학년 졸업생,선착순,2025.04.29 14:00~2025.04.29 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
58,[대학일자리+]  현장실습학기제 사전설명회 및 자기소개서 특강(2025-하계 대비),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=f1766d9ffd7df15edbacd6e638776954&intlNsbjtSxnCd=,2025.04.07~2025.04.27,2학년 3학년 4학년 졸업생,선착순,2025.04.28 12:00~2025.04.28 14:30,"2025학년도 하계방학 현장실습 지원 대비를 위한 '현장실습학기제 사전설명회' 및 '자기소개서 특강' 
-1부(12:00~12:50) 현장실습학기제 사전설명회_현장실습지원센터
★신청 후 당일 출석체크 확인자 선착순 샌드위치 증정★
-2부(13:00~14:30) 현장실습 자기소개서 작성 특강_대학일자리플러스센터
★사전 참여 신청을 하신 분들만 강의자료 파일로 제공합니다★","<현장실습학기제 사전 설명회> 
설명회를 참여해야 하는 이유?
-현장경험이 제일 중요한 요즘 채용 트렌드를 반영한 현장실습학기제!
-건국대 현장실습학기제를 어떻게 신청하고 준비해야 하는지 
-담당자 분이 직접! 세세하게 짚어주시는 자리니까!!
<현장실습 자기소개서 특강> 
이런 학생들이 참여하면 좋아요!
v 자기소개서 어떻게 써야할지 막막하신 분
v 현장실습 지원서 항목별 작성 포인트 분석이 필요하신 분
v 현장실습 합격을 위한 자기소개서 노하우가 궁금하신 분
★사전 참여 신청을 하신 분들만 강의자료 파일로 제공합니다★","1) 위인전 신청 (NOW!)
2) 운영일에 제1학생회관 2층 프라임홀 방문 참여 (출첵)
3) 만족도 설문 조사  완료 (현장QR)",대면 진행
59,[대학일자리+] (면접 기초) 면접 미리패스 : 2025 상반기 (4월 4주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=71cddd3560b0d8a7cccbf84286af2f5c&intlNsbjtSxnCd=,2025.04.11~2025.04.23,1학년 2학년 3학년 4학년 졸업생,선착순,2025.04.22 11:00~2025.04.25 11:50,"면접 준비 기초 과정으로 “공통 질문 리스트”를 제공하여 면접이 막막하거나, 어려운 본교 학생들과 지역청년을 대상으로 기본적인 스피치 역량 강화 및 면접 기초 역량을 쌓을 수 있도록 함.","- 기초 면접 역량을 강화하여 면접 전형을 원활하게 준비할 수 있도록 한다.
- 기본 인성 질문의 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청
2) 고용24 신청 (고용24 접속->우리학교취업지원실->건국대 검색->상담예약)
3) 유선 연락으로 참여 확정 안내 
4) 첨부파일로 제공된 질문 리스트에 대한 답변 준비
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
60,마감) [대학일자리+] 국가정보원 채용설명회 (선착순 30명),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=849accc9f23d4d24a79a319a465475fc&intlNsbjtSxnCd=,2025.04.16~2025.04.22,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.02 10:00~2025.05.02 11:00,"***대한민국 국가정보원 채용설명회***
-2025년 국가정보원 정기공채 채용 계획에 따른 설명회 참여",-자기 주도적 채용설명회 참여를 통한 취업 경쟁력 제고,"교내 위인전 신청접수 → 선착순 30명 4/29(화) 15시 신청 마감
→ 참여자 개별 SMS 안내(신청 마감 후 1시간 이내/ 세부장소 개별 전달)  → 행사 당일 장소 집결 후 진행",*** 채용설명회 참석 시 신분증 지참 필수!! ***
61,[대학일자리+]2025학년도 상반기 취업스터디 모집 - 공대이과생명반,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=eec25bc628d805bf99c2de226f2ecb7c&intlNsbjtSxnCd=,2025.04.14~2025.04.20,4학년 졸업생,선착순,2025.04.28 00:00~2025.05.14 00:00,"면접스터디 운영을 통해 학생들이 취업을 희망하는 기업 면접 역량을 기를 수 있도록 함. 스터디를 진행하며 주도성과 성실성, 취업스킬 향상을 목적으로 함.",기업 면접 스킬을 함양한다.,"1. 선착순 모집
2. 담당 컨설턴트 개별 연락 
3. 카카오톡 오픈채팅방, ZOOM 등의 온라인 매체를 활용해 진행 예정",대학일자리플러스사업단 컨설턴트 배치 및 운영
62,[대학일자리+]2025학년도 상반기 취업스터디 모집 - 인문상경예술반,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=5fcdd313f664a2a39a7e65c7ffbafacf&intlNsbjtSxnCd=,2025.04.14~2025.04.20,4학년 졸업생,선착순,2025.04.28 00:00~2025.05.14 00:00,"면접스터디 운영을 통해 학생들이 취업을 희망하는 기업 면접 역량을 기를 수 있도록 함. 스터디를 진행하며 주도성과 성실성, 취업스킬 향상을 목적으로 함.",기업 면접 스킬을 함양한다.,"1. 선착순 모집
2. 담당 컨설턴트 개별 연락 
3. 카카오톡 오픈채팅방, ZOOM 등의 온라인 매체를 활용해 진행 예정",대학일자리플러스사업단 컨설턴트 배치 및 운영
63,[대학일자리+] 졸업생도 상담 받고 싶어_자기소개서 컨설팅,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0946faa004e742b45b86b19b29ef5dcf&intlNsbjtSxnCd=,2025.03.24~2025.04.18,졸업생,선착순,2025.04.01 00:00~2025.04.25 17:30,"상담 및 프로그램 참여 기회가 상대적으로 적은 졸업생들의 상담 참여 니즈를 충족하고, 맞춤형 컨설팅으로 희망 직무 및 기업 취업을 원활하게 준비할 수 있도록 한다.","- 건국대학교 학생들이 졸업 후에도 지속적인 취업상담 서비스 제공 받을 수 있도록 함.
- 맞춤 컨설팅으로 취업애로사항을 해소.","1) 위인전 신청 
2) 고용24 신청 (고용24->취업지원->취업역량강화->우리학교 취업지원실->건국대학교->상담예약)
3) 신청 후 컨설턴트 배정 및 유선 연락으로 개별 일정 조정(신청 후 2-3일 소요)
4) 상담 진행",취업지원관 진행
64,[대학일자리+] (면접 기초) 면접 미리패스 : 2025 상반기 (4월 3주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=d52baa2d8ce832917011f401688ec221&intlNsbjtSxnCd=,2025.04.04~2025.04.16,1학년 2학년 3학년 4학년 졸업생,선착순,2025.04.15 11:00~2025.04.18 11:50,"면접 준비 기초 과정으로 “공통 질문 리스트”를 제공하여 면접이 막막하거나, 어려운 본교 학생들과 지역청년을 대상으로 기본적인 스피치 역량 강화 및 면접 기초 역량을 쌓을 수 있도록 함.","- 기초 면접 역량을 강화하여 면접 전형을 원활하게 준비할 수 있도록 한다.
- 기본 인성 질문의 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청
2) 고용24 신청 (고용24 접속->우리학교취업지원실->건국대 검색->상담예약)
3) 유선 연락으로 참여 확정 안내 
4) 첨부파일로 제공된 질문 리스트에 대한 답변 준비
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
65,[혁신사업] 2025학년도 2학기 국외 현장실습학기제(호주) 설명회,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=8de59908fb9805045dc681848de79233&intlNsbjtSxnCd=,2025.04.04~2025.04.14,2학년 3학년 4학년,선착순,2025.04.15 12:00~2025.04.15 13:30,- 국외 현장실습(호주) 설명회를 통하여 폭 넓은 현장실습과 취업의 방향을 제시할 수 있도록 설명회를 개최,- 선착순 간식 제공,- 위인전 신청 > 만족도 조사 실시 (별도 예정) > 수료,
66,[창업교육센터] KU창업클럽 3기,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=edcb9e17ea1528df7d7fed529970a7e3&intlNsbjtSxnCd=,2025.04.01~2025.04.11,1학년 2학년 3학년 4학년 졸업생 대학원,선발,2025.04.21 00:00~2025.08.31 00:00,건국대학교 학생 중 창업에 관심있는 학생들을 선발하여 지원하고자 함,,,
67,[대학일자리+] 졸업생 맞춤형 취업 컨설팅 & 잡매칭 프로그램 (QR신청 필수),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=a46819ce93b043b8abd761caa107caf0&intlNsbjtSxnCd=,2025.03.21~2025.04.02,4학년 졸업생,선발,2025.04.07 00:00~2025.07.31 00:00,"- 전담 컨설턴트를 통한 일대일 수준별 맞춤형 취업 컨설팅을 통해 개인별 취업역량 강화
- 주기적인 구직현황 파악 및 밀착관리를 통해 취업 연계 강화
- 취업 컨설팅을 기반으로 교내 채용설명회/상담회와 추천채용을 연계하여 눈높이 맞춤형 잡매칭 진행으로 취업지원 독려","- 전담 컨설턴트 배정으로 밀착관리 
- 기초상담을 및 진로취업 컨설팅 5회 이상 제공
- 맞춤형 잡매칭 4건 이상 제공","포스터 내 QR코드 신청서 제출 → 졸업생 우선 선발 → 위탁운영 업체 명단 송부 → 위탁운영 업체에서 참여 방법 안내
*차후 위탁업체 선정 후 선발 및 진행예정",위탁업체 운영
68,[혁신사업] CES 2025 성과발표회 및 2025학년도 사업설명회,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=6833dff963d3eefe2dd691e9fd348279&intlNsbjtSxnCd=,2025.03.17~2025.03.24,1학년 2학년 3학년 4학년 졸업생 대학원,선발,2025.03.25 16:00~2025.03.25 17:30,CES 2025 성과 발표 및 2025학년도 사업설명회,"참여학생 커피쿠폰(레스티오 5,000원), 글로벌 스타트업 프런티어 가산점 부여",,
69,"[대학일자리+] 자소서 하루완성: 2025 상반기 (3월 26일, 수, 오전, 이공반)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=0e3524e244f38d222d433de2c0d95707&intlNsbjtSxnCd=,2025.03.17~2025.03.20,4학년 졸업생 대학원,선착순,2025.03.26 10:00~2025.03.26 11:50,상반기 공채에 지원하는 건국대 재학생 및 졸업생을 대상으로 단시간 안에 효율적으로 자기소개서를 작성해볼 수 있도록 다대일 컨설팅 진행,"- 한정된 시간 내 피드백과 수정을 동시에 진행함으로써 구직 활동에 소요되는 시간에 대한 부담을 완화하고자 함
- 전문 컨설턴트의 피드백을 통해 직무 맞춤형 입사지원서 작성하고자 함","1) 위인전 프로그램 신청
2) 고용24 상담 예약 신청
3) 확정 연락 (문자로 진행 예정)
4) 자기소개서 초안 작성 및 제출 (제출 메일 주소: job@konkuk.ac.kr)
5) 프로그램 당일 현장에서 피드백 및 수정 진행",대면
70,"[대학일자리+] 자소서 하루완성: 2025 상반기 (3월 25일, 화, 오후, 인문반)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=06086a18cee8fa4afadc34c2cbe02c6e&intlNsbjtSxnCd=,2025.03.17~2025.03.20,4학년 졸업생 대학원,선착순,2025.03.25 14:00~2025.03.25 15:50,상반기 공채에 지원하는 건국대 재학생 및 졸업생을 대상으로 단시간 안에 효율적으로 자기소개서를 작성해볼 수 있도록 다대일 컨설팅 진행,"- 한정된 시간 내 피드백과 수정을 동시에 진행함으로써 구직 활동에 소요되는 시간에 대한 부담을 완화하고자 함
- 전문 컨설턴트의 피드백을 통해 직무 맞춤형 입사지원서 작성하고자 함","1) 위인전 프로그램 신청
2) 고용24 상담 예약 신청
3) 확정 연락 (문자로 진행 예정)
4) 자기소개서 초안 작성 및 제출 (제출 메일 주소: job@konkuk.ac.kr)
5) 프로그램 당일 현장에서 피드백 및 수정 진행",대면
71,"[대학일자리+] 자소서 하루완성: 2025 상반기 (3월 25일, 화, 오후, 이공반)",https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=1cca59f1f035547e5e2f76f47f097705&intlNsbjtSxnCd=,2025.03.17~2025.03.20,4학년 졸업생 대학원,선착순,2025.03.25 14:00~2025.03.25 15:50,상반기 공채에 지원하는 건국대 재학생 및 졸업생을 대상으로 단시간 안에 효율적으로 자기소개서를 작성해볼 수 있도록 다대일 컨설팅 진행,"- 한정된 시간 내 피드백과 수정을 동시에 진행함으로써 구직 활동에 소요되는 시간에 대한 부담을 완화하고자 함
- 전문 컨설턴트의 피드백을 통해 직무 맞춤형 입사지원서 작성하고자 함","1) 위인전 프로그램 신청
2) 고용24 상담 예약 신청
3) 확정 연락 (문자로 진행 예정)
4) 자기소개서 초안 작성 및 제출 (제출 메일 주소: job@konkuk.ac.kr)
5) 프로그램 당일 현장에서 피드백 및 수정 진행",대면
